app_name,volume_mn,value_cr,month,year
AU Small Finance Bank App,0.02,12.28,1,2021
Airtel Payments Bank Apps,3.71,355.77,1,2021
Allahabad Bank App,0.09,21.14,1,2021
Amazon Pay,46.3,4044.38,1,2021
Andhra Bank App,0.02,13.32,1,2021
Axis Bank Apps,71.96,618.44,1,2021
BHIM,23.38,7462.94,1,2021
Bajaj Finserv,0.01,0.99,1,2021
Bank of Baroda Apps,0.75,293.25,1,2021
Bank of Maharashtra App,0.02,6.37,1,2021
Canara Bank App,0.09,40.52,1,2021
Central Bank of India App,0.11,40.45,1,2021
Citi Bank App,0.09,71.3,1,2021
Cointab,0.13,43.7,1,2021
Cred,4.08,4247.83,1,2021
DBS Digibank App,0.56,178.75,1,2021
Dena Bank App,0.02,20.5,1,2021
Deutsche Bank App,0.55,60.65,1,2021
Federal Bank App,0.15,26.09,1,2021
Fino Payments Bank App,0.01,1.08,1,2021
Freecharge,1.12,63.8,1,2021
Google Pay,853.53,177791.47,1,2021
HDFC Bank Apps,1.52,244.03,1,2021
HSBC Bank App,0.06,41.59,1,2021
ICICI Bank Apps,10.46,1984.07,1,2021
IDBI Bank App,0.02,9.18,1,2021
IDFC Bank App,0.08,41.87,1,2021
India Post Payments Bank App,1.08,123.25,1,2021
Indian Bank App,0.02,5.77,1,2021
IndusInd Bank App,1.82,367.77,1,2021
Janta Sahakari Bank App,0.01,5.02,1,2021
Jio Payments Bank App,0.41,27.91,1,2021
Karnataka Bank App,0.07,15.35,1,2021
Karur Vysya Bank App,0.03,13.14,1,2021
Khalijeb,0.02,2.49,1,2021
Kotak Mahindra Bank Apps,1.88,343.38,1,2021
MI Pay,0.44,62.81,1,2021
MakeMy Trip,0.01,3.95,1,2021
Mobikwik,1.94,253.16,1,2021
Other Apps,0.03,10.76,1,2021
Paytm Payments Bank App,332.69,37845.76,1,2021
PhonePe,968.72,191973.77,1,2021
Punjab National Bank App,0.13,64.68,1,2021
Punjab Sind Bank App,0.01,3.18,1,2021
RBL Bank App,0.12,48.58,1,2021
RealMe,0.01,1.86,1,2021
Samsung Pay,1.67,314.07,1,2021
South Indian Bank App,0.06,22.77,1,2021
Standard Chartered Bank App,0.05,27.86,1,2021
State Bank of India Apps,4.29,2358.82,1,2021
Truecaller,0.01,1.94,1,2021
UCO Bank App,0.05,14.12,1,2021
Ultracash,0.75,120.28,1,2021
Union Bank Apps,0.24,99.94,1,2021
WhatsApp,0.56,36.44,1,2021
