month,banks_live,volume_mn,value_cr
01-04-2016,21,0,0
01-05-2016,21,0,0
01-06-2016,21,0,0
01-07-2016,21,0.09,0.38
01-08-2016,21,0.09,3.09
01-09-2016,25,0.09,32.64
01-10-2016,26,0.1,48.57
01-11-2016,30,0.29,100.46
01-12-2016,35,1.99,707.93
01-01-2017,36,4.46,1696.22
01-02-2017,44,4.38,1937.71
01-03-2017,44,6.37,2425.14
01-04-2017,48,7.2,2271.24
01-05-2017,49,9.36,2797.07
01-06-2017,52,10.35,3098.36
01-07-2017,53,11.63,3411.35
01-08-2017,55,16.8,4156.62
01-09-2017,57,30.98,5325.81
01-10-2017,60,76.96,7057.78
01-11-2017,61,105.02,9669.33
01-12-2017,67,145.64,13174.24
01-01-2018,71,151.83,15571.2
01-02-2018,86,171.4,19126.2
01-03-2018,91,178.05,24172.6
01-04-2018,97,190.08,27021.85
01-05-2018,101,189.48,33288.51
01-06-2018,110,246.37,40834.03
01-07-2018,114,273.75,51843.14
01-08-2018,114,312.02,54212.26
01-09-2018,122,405.87,59835.36
01-10-2018,128,482.36,74978.27
01-11-2018,128,524.94,82232.21
01-12-2018,129,620.17,102594.82
01-01-2019,134,672.75,109932.43
01-02-2019,139,674.19,106737.12
01-03-2019,142,799.54,133460.72
01-04-2019,144,781.79,142034.39
01-05-2019,143,733.54,152449.29
01-06-2019,142,754.54,146566.35
01-07-2019,143,822.29,146386.64
01-08-2019,141,918.35,154504.89
01-09-2019,141,955.02,161456.56
01-10-2019,141,1148.36,191359.94
01-11-2019,143,1218.77,189229.09
01-12-2019,143,1308.4,202520.76
01-01-2020,144,1305.02,216242.97
01-02-2020,146,1325.69,222516.95
01-03-2020,148,1246.84,206462.31
01-04-2020,153,999.57,151140.66
01-05-2020,155,1234.5,218391.6
01-06-2020,155,1336.93,261835
01-07-2020,164,1497.36,290537.86
01-08-2020,168,1618.83,298307.61
01-09-2020,174,1800.14,329027.66
01-10-2020,189,2071.62,386106.74
01-11-2020,200,2210.23,390999.15
01-12-2020,207,2234.16,416176.21
01-01-2021,207,2302.73,431181.89
01-02-2021,213,2292.9,425062.76
01-03-2021,216,2731.68,504886.44
01-04-2021,220,2641.06,493663.68
01-05-2021,224,2539.57,490638.65
01-06-2021,229,2807.51,547373.17
01-07-2021,235,3247.82,606281.14
01-08-2021,249,3555.55,639116.95
01-09-2021,259,3654.3,654351.81
01-10-2021,261,4218.65,771444.98
01-11-2021,274,4186.48,768436.11
01-12-2021,282,4566.3,826848.22
